"","Ceteaceans","Grey Seals","Seabirds","Adult Cod","Juvenile Cod","Silver hake","Juv Silver Hake","Haddock","American plaice","Halibut > 65 cm","Juv Halibut","Flounders","Skates","Dogfish","Redfish","Pollock","Trans. Mackerel","Dem. Piscivores","Juv. Dem.Pisc.","Large Demersals","Juv LDFs","Small Demersals","Capelin","Sandlance","Trans. Pels","Small Pelagics","Small mesopels","Squid","Large Crabs","Small Crabs","Shrimp","Echinoderms","Polychaetes","Bivalve Mollusc","OBI","LZP","SZP","Phytoplankton","Detritus"
"Ceteaceans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grey Seals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seabirds",0,0,0.212423135050417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306726666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adult Cod",0,0.0450575083923455,0,0,0,0,0,0,0,0,0,0,0,0.00283197905549585,0,0,0,0.00352452764759679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juvenile Cod",0.11449281809161,0.182771043178657,0.0237590906666861,0.0857426654854044,0.00712142857142857,0.13679109905,0,0.0133836090225564,0,0.00862881295440836,0,0,0.000430781518020786,0.00855860949832968,0,0.0127592836440444,0,0.0225296280178791,0.163387632290588,0.0147551567777594,0.0434670676691729,0.0127656015075171,0,0,0,0,0,0.122295907616535,0,0,0,0,0,0,0,0,0,0,0
"Silver hake",0,0.0282895377111635,0,0,0,0.0718493102304227,0,0,0,0,0,0,0,0.000741566178089719,0,0,0,5.10547658267761e-05,0,0,0,0,0,0,0.0200454151796836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juv Silver Hake",0.00737672926787011,0.0191201160814428,0,0.000435782269760447,0.000397145233766607,0.0413959745461206,0.0656570948452921,0.000580327241131457,0.00181854696228148,0.000960879586256688,0.000342367451662469,0,0.000242554062854405,0.017284338779335,0,0.0161767600494934,0,0.00785265053922356,0.0101487125764893,0.000160662573428575,0,0.0209384533389106,0,0,0.000463003876311913,0,0,0.0469745450751683,0,0,0,0,0,0,0,0,0,0,0
"Haddock",0,0.0272173231862208,0.011606828498326,0.00213880664523319,0,0.365551146956106,0.0211047777255992,0.00363636363636364,0,0.0126326163912052,0.00054167798003109,0,0,0.0123741090846792,0,0.300459014897248,0,0.0947168987464943,0.0449722985525797,0.000808550915834711,0,0,0,0,0,0,0,0.0597441899467368,0,0,0,0,0,0,0,0,0,0,0
"American plaice",0,0.397833445968919,0,0.121222609139273,0.00079016871649322,0,0,0.00156102175969726,0.00459147323965889,0.0378680917481653,0.0182609919867207,0,0,0.230955205346272,0,0,0,0.0021352264624688,0.0834238645894106,0.0129328282824267,0.038073793755913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halibut > 65 cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
