"","Cetacea","Harp seals","Hooded seals","Grey seals","Harbour seals","Seabirds","Large cod","Small cod","L. Greenland halibut","S. Greenland halibut","American plaice","Flounders","Skates","Redfish","L. demersals","S. demersals","Capelin","Sand lance","Arctic cod","L. pelagics","S. pisciv. pelagics","S. plankt. pelagics","Shrimp","Large crustacea","Echinoderms","Molluscs","Polychaetes","Other bent. invert.","Large zooplankton","Small zooplankton","Phytoplankton","Detritus"
"Cetacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harp seals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hooded seals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grey seals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harbour seals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seabirds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Large cod",0.0010087461754798,0.0258386541911858,0.00363260504655143,0.0197586862595396,0.00028931492709404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Small cod",0.0216037329979813,0.113034291497682,0.00541653924490467,0.0258618331427127,0.00137560629834854,0.000253512923188933,0.708101878364266,0.0324765420913104,0,0,0.00274667896316524,0,0.00392051870955526,0.024876926213458,0.0159012821795516,0,0,0,0,0.00410766036609933,0,0,0,0,0,0,0,0,0,0,0,0
"L. Greenland halibut",0,0.454734214114171,0.0198861228780619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S. Greenland halibut",0,0.670995412193523,0.167918289342489,0.00708515419219942,0,0.00550161204227608,0.0692201651139333,0,0.00613387423935092,0,0.0556946349970019,0,0.00172742231430303,0,0.000807810034422253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"American plaice",0,0.1207004985398,0,0.0265251040802676,0,0.00160911759195654,0.680251643852028,0,0.00179404234059826,0,0.00345537576677133,0,0.000505238394369465,0,0.00378030679694411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
