"","Spring phytoplankton","Su/Au phytoplankton","Bacteria","Microzooplankton","Mesozooplankton","Pelagic macrofauna","Benthic meiofauna","Benthic macrofauna","Juvenile sprat","Juvenile herring","Juvenile cod","Adult sprat","Adult herring","Adult cod","Seals","Detritus"
"Spring phytoplankton",0,0,0,0.0434288,0,0.00964285714285714,0,0.144875714285714,0,0,0,0,0,0,0,0
"Su/Au phytoplankton",0,0,0,0.0470478666666667,0.428571428571429,0.00964285714285714,0,0,0,0,0,0,0,0,0,0
"Bacteria",0,0,0,1.00065192029493,0,0,0,0,0,0,0,0,0,0,0,0
"Microzooplankton",0,0,0,0,0.999980000399992,0,0,0,0,0,0,0,0,0,0,0
"Mesozooplankton",0,0,0,0,0,0.102272727272727,0,0,0.18432882,0.189357818181818,0,0.149038085454545,0.139133563636364,0,0,0
"Pelagic macrofauna",0,0,0,0,0,0,0,0,0,0.240009086419753,0,0,0.260616296296296,0,0,0
"Benthic meiofauna",0,0,0,0,0,0,0,0.94462452728255,0,0,0,0,0,0,0,0
"Benthic macrofauna",0,0,0,0,0,0,0,0,0,0.120988382899628,0.103576905204461,0,0.0919635223048327,0.0178090148698885,0,0
"Juvenile sprat",0,0,0,0,0,0,0,0,0.0314114754098361,0,0.304459474951278,0.0253975811074172,0,0.0836868049982804,0.000461142955405251,0
"Juvenile herring",0,0,0,0,0,0,0,0,0,0,0.410838041431262,0,0,0.206214689265537,0.00059521186440678,0
"Juvenile cod",0,0,0,0,0,0,0,0,0.00966498412698413,0,0,0.00781457142857143,0,0.324444444444444,0.0006385,0
"Adult sprat",0,0,0,0,0,0,0,0,0,0,0.170769032921811,0,0,0.0797968106995885,0.000424927662037037,0
"Adult herring",0,0,0,0,0,0,0,0,0,0,0.02934601848629,0,0,0.0451715202846425,0.000688948833971458,0
"Adult cod",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222790126647713,0
"Seals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Detritus",0,0,Inf,0,0,0,Inf,Inf,0,0,0,0,0,0,0,0
