YEAR,REGION,SPECIES,BIOMASS,Source
1974,BALT,Atlantic cod,450253.8,Stock assessment
1975,BALT,Atlantic cod,474622.11,Stock assessment
1976,BALT,Atlantic cod,479542.59,Stock assessment
1977,BALT,Atlantic cod,525293.82,Stock assessment
1978,BALT,Atlantic cod,655313.14,Stock assessment
1979,BALT,Atlantic cod,828669.4,Stock assessment
1980,BALT,Atlantic cod,892576.2,Stock assessment
1981,BALT,Atlantic cod,958047.5,Stock assessment
1982,BALT,Atlantic cod,896641.7,Stock assessment
1983,BALT,Atlantic cod,850358.2,Stock assessment
1984,BALT,Atlantic cod,746980.9,Stock assessment
1985,BALT,Atlantic cod,651566.7,Stock assessment
1986,BALT,Atlantic cod,463582.2,Stock assessment
1987,BALT,Atlantic cod,434634.9,Stock assessment
1988,BALT,Atlantic cod,405825.7,Stock assessment
1989,BALT,Atlantic cod,323057.52,Stock assessment
1990,BALT,Atlantic cod,259655.67,Stock assessment
1991,BALT,Atlantic cod,185660.08,Stock assessment
1992,BALT,Atlantic cod,143130.61,Stock assessment
1993,BALT,Atlantic cod,182240.31,Stock assessment
1994,BALT,Atlantic cod,277447.83,Stock assessment
1995,BALT,Atlantic cod,306775.45,Stock assessment
1996,BALT,Atlantic cod,258477.66,Stock assessment
1997,BALT,Atlantic cod,191155.98,Stock assessment
1998,BALT,Atlantic cod,180044.63,Stock assessment
1999,BALT,Atlantic cod,202802.02,Stock assessment
2000,BALT,Atlantic cod,194709.89,Stock assessment
2001,BALT,Atlantic cod,146048.53,Stock assessment
2002,BALT,Atlantic cod,170483.67,Stock assessment
2003,BALT,Atlantic cod,169767.4,Stock assessment
2004,BALT,Atlantic cod,161099.76,Stock assessment
2005,BALT,Atlantic cod,180627.89,Stock assessment
2006,BALT,Atlantic cod,236974.88,Stock assessment
2007,BALT,Atlantic cod,286142.48,Stock assessment
2008,BALT,Atlantic cod,413436.51,Stock assessment
1974,BALT,Atlantic herring,2310387.4,Stock assessment
