rownames,REGION,SPECIES,TYPE,HABITAT,FGUILD,LengthGroup,TaxonGroup,YEAR,BIOMASS,LANDINGS,NumSpecies
1,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1974,450253.8,159243.7214,1
2,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1974,2310387.4,377052.4762,1
3,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1974,1011123.1,263074.191,1
4,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1975,474622.11,201969.9815,1
5,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1975,2027465.9,350459.0487,1
6,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1975,727963.1,212175.314,1
7,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1976,479542.59,207858.3175,1
8,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1976,1826203,394856.7073,1
9,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1976,719100.9,144561.8112,1
10,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1977,525293.82,160116.4038,1
11,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1977,1596583,270484.6231,1
12,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1977,755364.3,166677.7764,1
13,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1978,655313.14,155919.0086,1
14,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1978,1628395.6,210682.547,1
15,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1978,479023.62,112148.471,1
16,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1979,828669.4,255348.444,1
17,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1979,1818265,226110.8227,1
18,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1979,296989.13,66973.43978,1
19,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1980,892576.2,333137.9458,1
20,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1980,1600636.8,269340.781,1
21,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1980,189310.67,48928.7053,1
22,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1981,958047.5,326650.1716,1
23,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1981,1465647.4,282747.2581,1
24,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1981,206846.08,43065.32984,1
