Prey \ Predator,Spring phytoplankton,Su/Au phytoplankton,Bacteria,Microzooplankton,Mesozooplankton,Pelagic macrofauna,Benthic meiofauna,Benthic macrofauna,Juvenile sprat,Juvenile herring,Juvenile cod,Adult sprat,Adult herring,Adult cod,Seals,Detritus
Spring phytoplankton,0,0,0,0.08,0,0.2,0,0.29,0,0,0,0,0,0,0,0
Su/Au phytoplankton,0,0,0,0.13,0.75,0.3,0,0,0,0,0,0,0,0,0,0
Bacteria,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0
Microzooplankton,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
Mesozooplankton,0,0,0,0,0,0.5,0,0,0.999,0.9,0,0.999,0.87,0,0,0
Pelagic macrofauna,0,0,0,0,0,0,0,0,0,0.07,0,0,0.1,0,0,0
Benthic meiofauna,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0
Benthic macrofauna,0,0,0,0,0,0,0,0,0,0.03,0.47,0,0.03,0.21,0,0
Juvenile sprat,0,0,0,0,0,0,0,0,0.0009,0,0.14,0.0009,0,0.1,0.14,0
Juvenile herring,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0.3,0.22,0
Juvenile cod,0,0,0,0,0,0,0,0,0.0001,0,0,0.0001,0,0.14,0.07,0
Adult sprat,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.17,0.23,0
Adult herring,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.08,0.31,0
Adult cod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0
Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus,0,0,1,0,0,0,1,0.67,0,0,0,0,0,0,0,0
