Prey \ Predator,Minke,Other baleen whales,Toothed whales,Birds,Seals,Sharks,Adult herring (4+),Juvenile herring (1-3),Adult capelin (2+),Juvenile capelin (1),Polar cod (1+),Pelagic planktivorous fish,Mackerel/Horse Mackerel,Redfishes,Benthic Invertebrate Feeders 1 (BIF1),Adult haddock (4+),Juvenile haddock (1-3),Wolfishes,Adult cod (4+),Juvenile cod (1-3),Adult saithe,Juvenile saithe,Benthic piscivores,Salmon and Seatrout,Squid,Lobsters  crabs,Prawns & shrimps,Other crustaceans,Epifaunal filter feeders,Infaunal filter feeders,Other macrobenthos,Meiofauna,Carnivorous zooplankton,Herbivorous zooplankton,Planktonic micro-organisms,Benthic micro-organisms,Phytoplankton,Seaweeds and algae,Dead carcasses,Water column detritus,Benthic detritus
Minke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other baleen whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toothed whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seals,0,0,0,0,0,0.010002694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharks,0,0,0,0,0,0.005001348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001001897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult herring (4+),0,0.084,0.317028899,0.020005417,0,0.010005839,0,0,0,0,0,0,0,0,0,0,0,0,0.00089991,0,0.099840415,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile herring (1-3),0.399039904,0.15,0,0.010002709,0.10119403,0.010005839,0,0,0,0,0,0,0.05,0,0,0.003993128,0,0,0.00089991,0.00999945,0.039989756,0.047982652,0.003083286,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult capelin (2+),0.148714871,0.085,0.148013492,0.020005417,0.328358209,0.050029194,0,0,0,0,0,0,0.099999999,0,0,0.056902076,0.028192929,0,0.207079292,0.086995216,0.177954415,0.099963858,0.059988547,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile capelin (1),0.063306331,0.105,0.010003872,0.020005417,0,0.050029194,0,0.03,0,0,0,0,0.149999999,0.049993385,0,0,0,0,0.207079292,0.050045538,0.139806287,0.429622168,0.014997137,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polar cod (1+),0,0,0,0,0.165870647,0.040217999,0,0,0,0,0,0,0,0,0,0,0,0,0.00159984,0.050045538,0.049680594,0.049944182,0.021930493,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
