GroupName,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Discards,Offal,Pelagic Detritus,Benthic Detritus,Outside Detritus,Pollock Trawl,Cod Trawl,Cod Pots,Cod Longline,Atka Trawl,RSflats_TWL,YFSflats_TWL,ATFflats_TWL,FHSflats_TWL,Oth_Flatfish_TWL,Turbot Trawl,Turbot Longline,Sablefish Longline,Rockfish Trawl,Halibut Longline,Crab Pots,Salmon Fishery,Herring Fishery,Indigenous,Subsistence,disc_Pollock Trawl,disc_Cod Trawl,disc_Cod Pots,disc_Cod Longline,disc_Atka Trawl,disc_RSflats_TWL,disc_YFSflats_TWL,disc_ATFflats_TWL,disc_FHSflats_TWL,disc_Oth_Flatfish_TWL,disc_Turbot Trawl,disc_Turbot Longline,disc_Sablefish Longline,disc_Rockfish Trawl,disc_Halibut Longline,disc_Crab Pots,disc_Salmon Fishery,disc_Herring Fishery,disc_Indigenous,disc_Subsistence
Transient Killers,0,0.000135059,0.02542091,11.15693,,,0,0.2,,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sperm and Beaked Whales,0,0.01767473,0.0469,6.609423,,,0,0.2,,0,0,0.4,0.6,0,0,0,0,0.00E+00,0.00E+00,0,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resident Killers,0,0.00135018,0.02542091,11.15693,,,0,0.2,,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29E-06,5.74E-07,0,1.24E-06,5.16E-08,6.27E-07,0.000000784,3.92E-08,1.18E-07,0,4.95E-08,7.90E-09,6.00E-10,5.19E-08,0,0,0,0,0,0
Porpoises,0,0.003618792,0.05,30,,,0,0.2,,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,3.49E-07,8.73E-08,0,1.82E-07,7.80E-09,9.54E-08,1.19E-07,0.000000006,1.79E-08,0,7.50E-09,0.000000001,1.00E-10,7.90E-09,0,0,0,0,0,0
Belugas,0,0.01225278,0.112092,30,,,0,0.2,,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52E-08,0
Gray Whales,0,0.0326672,0.063365,8.87285,,,0,0.2,,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humpbacks,0,0.01209702,0.03770187,7.577205,,,0,0.2,,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35E-06,2.09E-06,0,0,1.88E-07,2.28E-06,2.85E-06,1.43E-07,4.28E-07,0,1.80E-07,0,0,1.89E-07,0,0,0,0,0,0
Fin Whales,0,0.45474,0.026676,6.516856,,,0,0.2,,0,0,0.4,0.6,0,0,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sei whales,0,0.006334031,0.040015,8.787933,,,0,0.2,,0,0,0.4,0.6,0,0,0,0,0.00E+00,0,0,0,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Right whales,0,0.003554848,0.032778,8,,,0,0.2,,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
