Prey \ Predator,Phytoplankton- Primary Producers,Bacteria,Microzooplankton,Small copepods,Large copepods,Gelatinous zooplankton,Micronekton,Mesopelagics,Polychaetes,Crustaceans,Molluscs,Macrobenthos other,Megabenthos filterers,Megabenthos other,Shrimps,Larval-juv fishes,Small pelagics- commercial,Small pelagics- other,Squids,Small pelagics- anadromous,Medium pelagics,Demersal benthivores,Demersals omnivores,Demersals piscivores,Pelagic sharks,Highly migratory species,Baleen whales,Toothed whales,Seabirds,Discards,Detritus
Phytoplankton- Primary Producers,0,0.15,0.15,0.61,0.46,0.086,0.114,0.02,0.108,0.12,0.379,0.149,0.6,0,0.054,0.052,0.011,0.157,0,0.011,0,0,0,0,0,0,0,0,0,0,0
Bacteria,0,0,0.4,0,0,0.02,0,0.02,0.26,0.106,0.175,0.16,0.2,0.12,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microzooplankton,0,0,0.1,0.2,0.05,0.05,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small copepods,0,0,0,0.08,0.28,0.33,0.513,0.5,0,0.011,0,0,0,0,0,0.38,0.147,0.115,0,0.079,0,0,0,0,0,0,0.058,0,0,0,0
Large copepods,0,0,0,0,0.103,0.36,0.229,0.37,0,0.021,0,0,0,0,0,0.22,0.426,0.571,0.11,0.874,0,0,0,0,0.03,0,0.462,0,0.03,0,0
Gelatinous zooplankton,0,0,0,0,0.05,0.021,0,0,0,0,0,0,0,0,0,0,0.08,0.102,0,0,0.001,0.005,0.005,0.02,0.01,0.072,0.001,0.003,0,0,0
Micronekton,0,0,0,0,0,0,0.029,0.01,0,0,0,0,0,0,0.108,0.06,0.161,0.042,0.39,0.019,0,0.001,0.025,0.001,0,0,0.289,0.025,0.123,0,0
Mesopelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0.005,0.01,0,0,0,0,0,0
Polychaetes,0,0,0,0,0,0,0,0,0.094,0.1,0,0.05,0,0.067,0,0.04,0.011,0,0,0.001,0,0.102,0.12,0.01,0,0,0,0,0,0,0
Crustaceans,0,0,0,0,0.003,0,0,0,0.017,0.104,0,0.05,0,0.067,0.054,0.05,0.027,0.002,0.085,0.006,0.012,0.12,0.06,0.01,0.01,0,0.058,0,0,0,0
Molluscs,0,0,0,0,0,0,0,0,0.009,0.142,0.067,0.149,0,0.201,0,0.04,0.011,0.002,0,0,0,0.102,0.06,0.015,0,0,0.012,0,0,0,0
Macrobenthos other,0,0,0,0,0.004,0,0,0,0.051,0.104,0.052,0.08,0,0.201,0.075,0.04,0.011,0.001,0.015,0,0.01,0.123,0.06,0.089,0.01,0,0.023,0,0,0,0
Megabenthos filterers,0,0,0,0,0,0,0,0,0.003,0.011,0.011,0.004,0,0.033,0,0,0,0,0,0,0.003,0.096,0.065,0.186,0,0,0,0,0,0,0
Megabenthos other,0,0,0,0,0,0,0,0,0.003,0.01,0.011,0.05,0,0.143,0,0,0,0,0,0,0.017,0.123,0.26,0.014,0,0,0.007,0,0,0,0
Shrimps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0.068,0,0.014,0.07,0.09,0.096,0,0,0,0,0.062,0,0
Larval-juv fishes,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.066,0.106,0.007,0.15,0.008,0.002,0,0.012,0.01,0,0,0,0,0,0,0
Small pelagics- commercial,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0.535,0.101,0.12,0.243,0.21,0.144,0.058,0.352,0.273,0,0
Small pelagics- other,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0.041,0.001,0.002,0.024,0.08,0.721,0.006,0.19,0.235,0,0
Squids,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0.151,0,0.106,0.01,0.022,0.011,0.16,0.063,0.011,0.254,0.061,0,0
Small pelagics- anadromous,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.047,0,0,0.077,0.02,0,0.003,0.046,0.04,0,0
