GroupName,Biomass,Production,P/B,Bycatch,Targeted Fishery/Navigation Removals,Consumption,QB,Assimilation Efficiency,Unassimilated Consumption,Respiration,R/B,C/P,P/R,R/C,Living or Dead,QB
Phytoplankton- Primary Producers,19.77286,3284.948,166.13,0,0,0,0,1,0,821.2371,41.53,0,4,0,L,0
Bacteria,3.455946,315.355,91.25,0,0,1313.979,380.21,0.8,0.2,735.8284,212.92,4.17,0.43,0.56,L,380.5125
Microzooplankton,3.104434,223.5193,72,0,0,752.5901,242.42,0.9,0.1,453.8118,146.18,3.37,0.49,0.6,L,242.64
Small copepods,9.98857,416.17423,41.67,0,0,1276.04001,127.75,0.75,0.25,622.0695,62.28,3.07,0.67,0.49,L,127.9269
Large copepods,14.24652,778.37084,54.64,0,0,1559.99396,109.5,0.75,0.25,760.49705,53.38,2,1.02,0.49,L,109.28
Gelatinous zooplankton,5.24931,209.97247,40,6.36E-07,0,766.39951,146,0.65,0.35,323.80379,61.69,3.65,0.65,0.42,L,146
Micronekton,7.61025,108.44609,14.25,0,0,277.77419,36.5,0.75,0.25,135.41492,17.79,2.56,0.8,0.49,L,36.48
Mesopelagics,0.00004,0.00003,0.95,3.66E-12,0,0.00006687,1.83,0.85,0.15,0.00003695,1.01,1.92,0.94,0.55,L,1.824
Polychaetes,5.16706,12.91766,2.5,0,0,90.42362,17.5,0.5,0.5,29.38768,5.69,7,0.44,0.33,L,17.5
Crustaceans,16.4648,49.39439,3,0,0,345.76073,21,0.5,0.5,112.37224,6.83,7,0.44,0.33,L,21
Molluscs,2.57672,5.15343,2,0,0,36.07402,14,0.4,0.6,9.37925,3.64,7,0.55,0.26,L,14
Macrobenthos other,81.67872,163.35744,2,0,0.6478,1470.21698,18,0.5,0.5,477.82052,5.85,9,0.34,0.33,L,18
Megabenthos filterers,4.14449,34.88,8.42,0.2,0.03305,41.44487,10,0.3,0.7,8.08175,1.95,1.19,4.32,0.2,L,10.0198
Megabenthos other,4.36,8.72,2,0,0,78.48,18,0.7,0.3,35.7084,8.19,9,0.24,0.46,L,18
Shrimps,0.0001,0.0001,1,0,0.00023,0.0009,9,0.7,0.3,0.00041,4.1,9,0.24,0.46,L,9
Larval-juv fishes,0.46715,7.00728,15,4.80E-09,0.299,21.02185,45,0.85,0.15,11.61457,24.86,3,0.6,0.55,L,45
Small pelagics- commercial,9.94662,3.43428,0.35,0.0299,0,19.89325,2,0.85,0.15,10.99102,1.11,5.79,0.31,0.55,L,2.0265
Small pelagics- other,1.05437,1.00205,0.95,0,0.00339,2.10874,2,0.65,0.35,0.89094,0.85,2.1,1.12,0.42,L,1.995
Squids,0.9623,0.91455,0.95,0.00034,0.03276,2.64633,2.75,0.85,0.15,1.4621,1.52,2.89,0.63,0.55,L,2.7455
Small pelagics- anadromous,0.03775,0.01604,0.42,0.00328,0.01015,0.07551,2,0.85,0.15,0.04172,1.11,4.71,0.38,0.55,L,1.9782
Medium pelagics,0.19284,0.08678,0.45,0.00305,0.26416,0.46861,2.43,0.85,0.15,0.25891,1.34,5.4,0.34,0.55,L,2.43
Demersal benthivores,5.01958,2.25881,0.45,0.07925,0.00531,4.61801,0.92,0.7,0.3,2.1012,0.42,2.04,1.08,0.46,L,0.918
Demersals omnivores,3.77876,1.70044,0.45,0.00159,0.53144,3.13637,0.83,0.65,0.35,1.32512,0.35,1.84,1.28,0.42,L,0.828
Demersals piscivores,4.25437,1.91447,0.45,0.15943,0,10.38066,2.44,0.85,0.15,5.73532,1.35,5.42,0.33,0.55,L,2.439
Pelagic sharks,0.02436,0.00244,0.1,0.00024,0.00341,0.01351,0.55,0.85,0.15,0.00747,0.31,5.55,0.33,0.55,L,0.555
Highly migratory species,0.03516,0.024,0.68,0.00102,0,0.07219,2.05,0.85,0.15,0.03989,1.13,3.01,0.6,0.55,L,2.0468
Baleen whales,0.41672,0.01584,0.04,1.25E-08,0.00011,1.87523,4.5,0.8,0.2,0.97512,2.34,118.36,0.02,0.52,L,4.7344
Toothed whales,0.122,0.00488,0.04,1.02E-08,0,1.75675,14.4,0.8,0.2,0.91351,7.49,360,0.01,0.52,L,14.4
Seabirds,0.01439,0.00396,0.28,0.00014,0,0.06303,4.38,0.85,0.15,0.03482,2.42,15.92,0.11,0.55,L,4.4576
Discards,0.48364,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0
Detritus- POC,50,821.23707,0,0,0,0,0,0,0,0,0,0,0,0,D,0
