GroupName,Biomass,EE,PB,QB,GCE,GroupType,BA,Import
Transient Killers,0.000136055,0,0.02542091,11.15692997,0.002278486,Consumer,0,0
Sperm and Beaked Whales,0.045088451,0,0.0469,6.609423161,0.007095929,Consumer,0,0
Resident Killers,0.001359492,0.020550052,0.02542091,11.15692997,0.002278486,Consumer,0,0
Porpoises,0.01507433,0.054608967,0.050000001,30,0.001666667,Consumer,0,0
Gray Whales,0.05543134,0.042838193,0.063364998,8.872850418,0.007141448,Consumer,0,0
Humpbacks,0.178380504,0.071956545,0.037701871,7.577205181,0.004975696,Consumer,0,0
Fin Whales,0.266102195,0.109016314,0.026675999,6.516856194,0.004093385,Consumer,0,0
Sei whales,0.006333852,0.067796953,0.040015001,8.78793335,0.004553403,Consumer,0,0
Right whales,0.003554814,0.082765758,0.032777999,8,0.00409725,Consumer,0,0
Minke whales,0.002362473,0.0530474,0.051141001,7.781984806,0.006571717,Consumer,0,0
Sea Otters,0.003451707,0.023304069,0.116862997,73,0.001600863,Consumer,0,0
N. Fur Seal_Juv,0.000294995,0.00680154,0.398865014,84.09423065,0.004743072,Consumer,0,0
N. Fur Seal,0.009042058,0.028240621,0.096588001,39.03033066,0.002474691,Consumer,0,0
Steller Sea Lion_Juv,0.000278476,0.034605395,0.494011492,56.34432983,0.008767723,Consumer,0,0
Steller Sea Lion,0.01593345,0.048468065,0.109793603,24.07415009,0.004560643,Consumer,0,0
Resident seals,0.003292146,0.225400433,0.082653001,17.43907928,0.004739528,Consumer,0,0
Shearwater,0.0002309,0.206179589,0.100000001,73,0.001369863,Consumer,0,0
Murres,0.004831768,0.121647149,0.1694877,72,0.002353996,Consumer,0,0
Kittiwakes,0.000889335,0.268176973,0.076881044,110,0.000698919,Consumer,0,0
Auklets,0.000299744,0.121648587,0.1694877,110,0.001540797,Consumer,0,0
Puffins,0.006484459,0.515441835,0.039999999,73,0.000547945,Consumer,0,0
Fulmars,0.000820895,0.37486884,0.055,73,0.000753425,Consumer,0,0
Storm Petrels,0.0002309,0.171816334,0.119999997,144,0.000833333,Consumer,0,0
Cormorants,0.000348881,0.129894361,0.158727095,73,0.002174344,Consumer,0,0
Gulls,0.000569231,0.124365196,0.165782198,73,0.002270989,Consumer,0,0
Albatross Jaeger,0.0002309,0.305151343,0.067566343,75,0.000900885,Consumer,0,0
Sleeper shark,0.017650319,0.842280746,0.100000001,3,0.033333334,Consumer,0,0
Salmon shark,0.034594528,0.135121509,0.100000001,6,0.016666667,Consumer,0,0
Dogfish,0.090108171,0.897135496,0.100000001,3,0.033333334,Consumer,0,0
W. Pollock_Juv,0.795936525,0.924673676,2.099999905,11.46551037,0.183157996,Consumer,0,0
W. Pollock,5.552700043,0.964072347,0.425000012,3.779999971,0.112433866,Consumer,-1.25,0
P. Cod_Juv,0.130470499,0.805491388,2.026288033,8.414301872,0.240814754,Consumer,0,0
P. Cod,1.390076041,0.52928853,0.419999987,2.190000057,0.191780811,Consumer,0,0
Herring_Juv,0.433198512,0.978528798,1.5,8.75152874,0.171398626,Consumer,0,0
Herring,0.899999976,0.791181564,0.319999993,3.519999981,0.090909089,Consumer,0,0
Arrowtooth_Juv,0.069866702,0.600417078,1.5,8.008333206,0.187304894,Consumer,0,0
