Prey \ Predator,Phytoplankton- Primary Producers,Bacteria,Microzooplankton,Small copepods,Large copepods,Gelatinous zooplankton,Micronekton,Polychaetes,Crustaceans,Molluscs,Macrobenthos other,Megabenthos filterers,Megabenthos other,Shrimps,Larval-juv fishes,Small pelagics- commercial,Small pelagics- other,Squids,Small pelagics- anadromous,Medium pelagics,Demersal benthivores,Demersals omnivores,Demersals piscivores,Pelagic sharks,Highly migratory species,Pinnipeds,Baleen whales,Toothed whales,Seabirds,Discards,Detritus- POC
Phytoplankton- Primary Producers,0,0.15,0.15,0.61,0.46,0.086,0.114,0.108,0.12,0.379,0.149,0.6,0,0.054,0.052,0.011,0.157,0,0.011,0,0,0,0,0,0,0,0,0,0,,
Bacteria,0,0,0.4,0,0,0.02,0,0.26,0.106,0.175,0.16,0.2,0.12,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Microzooplankton,0,0,0.1,0.2,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Small copepods,0,0,0,0.08,0.28,0.33,0.513,0,0.011,0,0,0,0,0,0.38,0.117,0.115,0,0.079,0,0,0,0,0,0,0,0.058,0,0,,
Large copepods,0,0,0,0,0.103,0.36,0.229,0,0.021,0,0,0,0,0,0.22,0.426,0.641,0.09,0.874,0,0,0,0,0.03,0,0,0.462,0,0.03,,
Gelatinous zooplankton,0,0,0,0,0.05,0.021,0,0,0,0,0,0,0,0,0,0.021,0.031,0,0,0.001,0.005,0.012,0.001,0,0.072,0,0.001,0.003,0,,
Micronekton,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0.108,0.06,0.213,0.042,0.45,0.019,0,0.061,0.035,0.022,0,0,0.074,0.289,0.025,0.123,,
Polychaetes,0,0,0,0,0,0,0,0.094,0.1,0,0.05,0,0.067,0,0.04,0.011,0,0,0.003,0,0.146,0.177,0.011,0,0,0,0,0,0,,
Crustaceans,0,0,0,0,0.003,0,0,0.017,0.104,0,0.05,0,0.067,0.054,0.05,0.067,0.002,0.135,0.006,0.012,0.181,0.177,0.011,0.01,0,0,0.058,0,0,,
Molluscs,0,0,0,0,0,0,0,0.009,0.142,0.067,0.149,0,0.201,0,0.04,0.011,0.002,0,0,0,0.122,0.177,0.033,0,0,0,0.012,0,0,,
