GroupName,Biomass,Production,PB,Bycatch,Targeted Fishery/Navigation Removals,Consumption,QB,Assimilation Efficiency,Unassimilated Consumption,Respiration,R/B,C/P,P/R,R/C,GroupType,QB
Phytoplankton- Primary Producers,20.11436,3281.52067,163.14,0,0,0,0,1,0,820.3375,40.78,0,4,0,L,0
Bacteria,3.45234,315.026,91.25,0,0,1312.608,380.21,0.8,0.2,735.0607,212.92,4.17,0.43,0.56,L,380.5125
Microzooplankton,3.15805,227.37972,72,0,0,765.58815,242.42,0.9,0.1,461.6497,146.18,3.37,0.49,0.6,L,242.64
Small copepods,9.87932,305.44967,30.92,0,0,1262.08309,127.75,0.75,0.25,615.2655,62.28,4.13,0.5,0.49,L,127.6996
Large copepods,34.85446,1410.16647,40.46,0,0,3816.56345,109.5,0.75,0.25,1860.57469,53.38,2.71,0.76,0.49,L,109.6466
Gelatinous zooplankton,11,440,40,6.36E-07,6.36E-07,1610.14239,146,0.65,0.35,680.28516,61.84,3.66,0.65,0.42,L,146.4
Micronekton,8.3565,119.08006,14.25,0,0,305.01207,36.5,0.75,0.25,148.69338,17.79,2.56,0.8,0.49,L,36.48
Polychaetes,13.49161,33.72902,2.5,6.82E-12,0.00013,236.10311,17.5,0.5,0.5,76.73351,5.69,7,0.44,0.33,L,17.5
Crustaceans,1.83497,5.50491,3,0.00013,0.00001835,38.53436,21,0.5,0.5,12.52367,6.83,7,0.44,0.33,L,21
Molluscs,4.49067,2.13435,0.48,0.00001835,0.00019,62.86944,14,0.4,0.6,16.34605,3.64,29.46,0.13,0.26,L,14.1408
Macrobenthos other,72.39182,144.78364,2,0.00019,0.00072,1303.05273,18,0.5,0.5,423.49214,5.85,9,0.34,0.33,L,18
Megabenthos filterers,1.3106,4.412,3.37,0.00072,0.12186,13.10599,10,0.3,0.7,2.55567,1.95,2.97,1.73,0.2,L,10.0089
Megabenthos other,3.03683,4.03734,1.33,0.03017,0.44889,40.99723,13.5,0.7,0.3,18.65374,6.14,10.15,0.22,0.46,L,13.4995
Shrimps,0.16948,0.16948,1,0.10362,0.08168,1.52528,9,0.7,0.3,0.694,4.1,9,0.24,0.46,L,9
Larval-juv fishes,0.25817,3.87258,15,0.01946,2.65E-09,11.61774,45,0.85,0.15,6.4188,24.86,3,0.6,0.55,L,45
Small pelagics- commercial,4.54507,1.8921,0.42,2.65E-09,1.0052,9.09014,2,0.85,0.15,5.0223,1.11,4.8,0.38,0.55,L,2.016
Small pelagics- other,1.06021,0.44529,0.42,0.13104,0.00017,2.12043,2,0.65,0.35,0.89588,0.85,4.76,0.5,0.42,L,1.9992
Squids,0.13457,0.20185,1.5,0.00016,0.0144,0.37007,2.75,0.85,0.15,0.20446,1.52,1.83,0.99,0.55,L,2.745
Small pelagics- anadromous,0.07724,0.03244,0.42,0.00056,0.02231,0.15449,2,0.85,0.15,0.08536,1.11,4.76,0.38,0.55,L,1.9992
Medium pelagics,0.01131,0.00622,0.55,0.0167,0.01314,0.02306,2.04,0.85,0.15,0.01274,1.13,3.71,0.49,0.55,L,2.0405
Demersal benthivores,3.31208,1.49044,0.45,0.00303,0.18545,2.09655,0.63,0.7,0.3,0.95393,0.29,1.41,1.56,0.46,L,0.6345
Demersals omnivores,0.30028,0.13513,0.45,0.04298,0.00946,0.24023,0.8,0.65,0.35,0.1015,0.34,1.78,1.33,0.42,L,0.801
Demersals piscivores,6.22812,3.42547,0.55,0.00228,0.39153,7.16234,1.15,0.85,0.15,3.95719,0.64,2.09,0.87,0.55,L,1.1495
Pelagic sharks,0.01301,0.00195,0.15,0.09035,0.00031,0.01351,1.04,0.85,0.15,0.00747,0.57,6.92,0.26,0.55,L,1.038
Highly migratory species,0.01834,0.00917,0.5,0,0.00236,0.07219,3.94,0.85,0.15,0.03989,2.17,7.87,0.23,0.55,L,3.935
Pinnipeds,0.09394,0.00633,0.07,0.00007206,0.00115,0.91121,9.7,0.8,0.2,0.47383,5.04,144.05,0.01,0.52,L,10.0835
Baleen whales,0.86075,0.03616,0.04,0.00054,0.00059,3.95944,4.6,0.8,0.2,2.05891,2.39,109.5,0.02,0.52,L,4.38
Toothed whales,0.04887,0.00195,0.04,0.00115,0.00014,0.83084,17,0.8,0.2,0.43204,8.84,425,0,0.52,L,17
Seabirds,0.00588,0.00162,0.275,0.00041,0.00005878,0.06303,10.72,0.85,0.15,0.03482,5.92,39,0.05,0.55,L,10.725
Discards,0.44208,0.44208,,0.00014,,,,,,,,,,,D,0
Detritus- POC,81.33333,820.38017,,0.00005878,,,,,,,,,,,D,0
