Prey \ predator,Sea Otters,Mysticetae,Odontocetae,"Seals, sea lions",Seabirds,Transient salmon,Coho salmon,Chinook salmon,Small squid,Squid,Ratfish,Dogfish,Juvenile pollock,Pollock,Forage fish,Eulachon,Juvenile herring,Adult herring,Juvenile POP,Adult POP,Inshore rockfish,Juvenile picivorous rockfish,Adult picivorous rockfish,Juvenile planktivorous rockfish,Adult planktivorous rockfish,Juvenile turbot,Adult turbot,Juvenile flatfish,Adult flatfish,Juvenile halibut,Adult halibut,Juvenile Pacific cod,Adult Pacific cod,Juvenile sablefish,Adult sablefish,Juvenile lingcod,Adult lingcod,Shallowwater benthic fish,Skates,Large crabs,Small crabs,Commercial shrimp,Epifaunal invertebrates,Infaunal carnivorous invertebrates,Carnivorous jellyfish,Euphausiids,Copepods,Macrophytes,Phytoplankton,Detritus
Sea Otters,0,0,1.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mysticetae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odontocetae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seals, sea lions",0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transient salmon,0,0,0.041,0.01,0.054,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coho salmon,0,0,0.004,0.001,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinook salmon,0,0,0.004,0.004,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small squid,0.045,0,0.213,0.045,0.0345,0,0.2,0,0,0.1735,0,0.065,0,0.0155,0,0,0,0,0,0.012,0,0,0.07,0,0.101,0.087,0.1605,0,0,0.0315,0.0635,0,0,0.009,0.025,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0
Squid,0.045,0,0.213,0.052,0.0545,0,0.19,0,0,0.1,0,0.117,0,0.0155,0,0,0,0,0,0.012,0,0,0.08,0,0.101,0.087,0.1605,0,0,0.0315,0.0635,0,0,0.009,0.025,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0
Ratfish,0,0,0.026,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogfish,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
Juvenile pollock,0.1,0,0,0,0,0,0,0,0,0,0,0,0.025,0.1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.009,0,0,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
Pollock,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forage fish,0,0.014,0.162,0.1,0.243,0,0.167,0.433,0.081,0.187,0.278,0.072,0.072,0.198,0,0,0,0,0,0,0.06,0,0.027,0,0.028,0.111,0.107,0.05,0.154,0.055,0.014,0,0.393,0.025,0.313,0.227,0.117,0.198,0.238,0,0,0,0,0,0,0,0,0,0,0
Eulachon,0,0,0.032,0,0.079,0,0.033,0.067,0.014,0.025,0.056,0.015,0.014,0.028,0,0,0,0,0,0,0.012,0,0.005,0,0.006,0.022,0.051,0.01,0.031,0.011,0.003,0,0.079,0.005,0.067,0.063,0.063,0.04,0.048,0,0,0,0,0,0,0,0,0,0,0
Juvenile herring,0,0,0.056,0.21,0.105,0,0,0,0.05,0,0,0.023,0,0,0,0,0,0,0,0,0.33,0,0,0,0.109,0.18,0.099,0,0,0.05,0,0,0.03,0,0,0.17,0.099,0,0,0,0,0,0,0,0.001,0,0,0,0,0
Adult herring,0,0.001,0.01,0.01,0.003,0,0.04,0.05,0,0,0,0.01,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.018,1.00E-05,0,0,0,0.02,0,0.023,0.01,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile POP,0,0,0.005,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.001,0,0,0.003,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult POP,0,0,0,0.001,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.005,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inshore rockfish,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile picivorous rockfish,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult picivorous rockfish,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile planktivorous rockfish,0,0,0.002,0.0001,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0.005,0,0,0.001,0.004,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult planktivorous rockfish,0,0,0.011,0.002,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile turbot,0,0,0.014899,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.01,0,0,0.001,0.01,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult turbot,0,0,0,0.022,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile flatfish,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.005,0,0,0.02,0,0,0,0,0.01,0.07,0.111,0,0,0.01,0,0,0,0,0,0,0,0,0,0
Adult flatfish,0,0,0,0.004,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile halibut,0,0,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.02,0,0.005,0.16,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult halibut,0,0,0.0279,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.06,0,0,0,0,0,0,0,0,0,0,0
Juvenile Pacific cod,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0.001,0,0.005,0.1,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Pacific cod,0,0,0,0.007,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.05,0,0.02,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile sablefish,0,0,0,0.005,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult sablefish,0,0,0,0.003,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile lingcod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.005,0,0,0,0.013,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult lingcod,0,0,0,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.001,0,0,0,0.01,1.00E-05,0,0,0,0,0,0,0,0,0,0,0,0
Shallowwater benthic fish,0.1,0,0,0.0358,0,0,0,0,0,0,0,0.0619,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0.088,0,0,0.055,0,0,0.122,0,0,0,0,0.01,0.019,0,0,0,0,0,0,0,0,0,0,0
Skates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0.053,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large crabs,0.01,0,0.028,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0.015,0,0,0.24,0.155,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0
Small crabs,0.2,0,0,0,0.041,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0.107,0.1,0.13,0,0,0.1,0,0.068,0.038,0.3,0.125,0.027,0,0,0.011,0.15,0,0.333,0.08,0.1,0,0,0,0,0,0,0,0,0,0
Commercial shrimp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.1,0,0,0,0.1,0.05,0,0,0.06,0,0,0,0.05,0.105,0.05,0.1,0.004,0.1,0.015,0,0,0,0,0,0,0,0,0,0
Epifaunal invertebrates,0.5,0.035,0,0.194,0.041,0,0,0,0,0,0.183,0.0521,0.071,0.022,0.1,0.1,0,0,0,0,0.05,0.1,0.254,0,0,0.033,0.028,0.046,0.051,0.05,0.09,0.21,0.074,0.02,0.01,0,0.1,0.037,0.09,0.395,0.6,0,0,0,0,0,0,0,0,0
Infaunal carnivorous invertebrates,0,0.045,0,0.1951,0,0,0,0,0,0,0.2,0.019,0.02,0,0,0,0,0,0,0,0.124,0,0,0,0,0,0,0.373,0.272,0,0,0.079,0.07000011,0,0,0,0,0.181,0.15,0.105,0.3,0,0,0,0,0,0,0,0,0
Carnivorous jellyfish,0,0,0,0,0.036,0.1,0,0,0.06,0.06,0,0.029,0,0,0.27,0.2,0,0,0,0,0,0,0.038,0,0.006,0,0,0,0,0,0,0,0,0.01,0.3400001,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0
Euphausiids,0,0.226,0.1421,0,0.112,0.15,0.36,0.45,0.38,0.1065,0.203,0.139,0.3,0.461,0.2,0.1,0.1,0.9,0.2,0.893,0.152,0.4,0.086,0.5,0.574,0.074,0.05000007,0,0.004,0,0,0.115,0,0.85,0,0,0,0.025,0,0,0,0.3,0,0,0.01,0,0,0,0,0
Copepods,0,0.021,0,0,0.156,0.15,0,0,0.099,0.041,0,0.126,0.498,0.16,0.38,0.6,0.9,0.1,0.8,0.083,0,0.3,0,0.5,0.075,0,0,0,0,0,0,0.057,0,0,0,0,0,0.048,0,0,0,0.2,0,0,0.08,0.2,0,0,0,0
Macrophytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1,0,0,0
Detritus,0,0,0,0,0,0,0,0,0.316,0.307,0,0.08,0,0,0.05,0,0,0,0,0,0,0,0.112,0,0,0.03,0.163,0,0,0.075,0.077,0.149,0.079,0,0.02,0.01000005,0.057,0.027,0.024,0.3,0,0.4,0.939,0.94,0.849,0,0,0,0,0
