Prey \ Predator,Cetacea,Harp seals,Hooded seals,Grey seals,Harbour seals,Seabirds,Large cod,Small cod,L. Greenland halibut,S. Greenland halibut,American plaice,Flounders,Skates,Redfish,L. demersals,S. demersals,Capelin,Sand lance,Arctic cod,L. pelagics,S. pisciv. pelagics,S. plankt. pelagics,Shrimp,Large crustacea,Echinoderms,Molluscs,Polychaetes,Other bent. invert.,Large zooplankton,Small zooplankton,Phytoplankton,Detritus
Cetacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harp seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hooded seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grey seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harbour seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large cod,0.0012,0.0169983,0.1115888,0.1734173,0.02509749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small cod,0.016,0.04629538,0.1035896,0.1413141,0.07429258,0.0022,0.1319868,0.0094981,0,0,0.00209958,0,0.0204959,0.00329967,0.02540254,0,0,0,0,0.07258548,0,0,0,0,0,0,0,0,0,0,0,0
L. Greenland halibut,0,0.01189881,0.02429757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. Greenland halibut,0,0.02129787,0.2488751,0.0030003,0,0.0037,0.0009999,0,0.0019,0,0.00329934,0,0.00069986,0,0.00010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American plaice,0,0.01309869,0,0.03840384,0,0.0037,0.03359663,0,0.0019,0,0.00069986,0,0.00069986,0,0.00160016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flounders,0,0.00639936,0.1073893,0.1146115,0.02439756,0.0037,0.01729827,0,0.0019,0,0.00019996,0,0.07508498,0,0.00050005,0,0,0,0,0.00059988,0,0,0,0,0,0,0,0,0,0,0,0
