GroupName,Yield,Discard
Cetacea,0.0007,0
Harp seals,0.0045,0
Hooded seals,0.0001,0
Grey seals,0.0006,0
Harbour seals,0,0
Seabirds,0.0003,0
Large cod,0.6479,0
Small cod,0.0002,0
L. Greenland halibut,0.0153,0
S. Greenland halibut,0,0
American plaice,0.0205,0
Flounders,0.0074,0
Skates,0.0001,0
Redfish,0.2688,0
L. demersals,0.0091,0
S. demersals,0,0
Capelin,0.0152,0
Sand lance,0,0
Arctic cod,0,0
L. pelagics,0.0025,0
S. pisciv. pelagics,0.006,0
S. plankt. pelagics,0.1457,0
Shrimp,0.095,0
Large crustacea,0.0438,0
Echinoderms,0,0
Molluscs,0.0337,0
Polychaetes,0,0
Other bent. invert.,0,0
Large zooplankton,0,0
Small zooplankton,0,0
Phytoplankton,0,0
Detritus,0,0
