Prey/Predator,Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray + others,Thornback & Spotted ray,Skate + cuckoo ray,"Juvenile Cod(0-2, 0-40cm)",Cod (adult),"Juvenile Whiting (0-1, 0-20cm)",Whiting (adult),"Juvenile Haddock (0-1, 0-20cm)",Haddock (adult),"Juvenile Saithe (0-3, 0-40cm)",Saithe (adult),Hake,Blue whiting,Norway pout,Other gadoids (large),Other gadoids (small),Monkfish,Gurnards,"Herring (juvenile 0, 1)",Herring (adult),Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish (Wolf-fish),Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid & cuttlefish,Fish larvae,Carnivorous zooplankton,Herbivorous & Omnivorous zooplankton (copepods),Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Shrimp,Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna,Meiofauna,"Benthic microflora (incl. Bacteria, protozoa))","Planktonic microflora (incl. Bacteria, protozoa)",Phytoplankton,Detritus - DOM -water column,Detritus - POM - sediment,Discards
Baleen whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toothed whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile sharks,0,0,0,0,0,0,0.06011202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spurdog,0,0,0,0,0,0.019998,0.010002,0,0,0,0,0,0,9.49932E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large piscivorous sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small sharks,0,0,0,0,0,0,0.05011002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile rays,0,0,0,0,0,0,0.06011202,0,0,0.00020002,0,0,0,9.49932E-05,0,0,0,0,0,0,0,0,0,0,0,0.005901771,0.000300021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starry ray + others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thornback & Spotted ray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skate + cuckoo ray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juvenile Cod(0-2, 0-40cm)",0,0.01959914,0.03000006,0.003110249,0,0,0,0,0.002,0.02690269,0,0,0.0050009,0.008499389,0.00370037,0.00189954,0,9.80068E-05,0,0,0,0,0,0.01980198,0,0.0090027,0.0261018,0,0,0,9.99969E-05,0.005099439,0,0,0,0,0,0,0,0,0.05050505,0,0,0,0,0,0,0,0.01042189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cod (adult),0,0,0.06040012,0,0,0,0,0,0,0,0,0,0,0.00999928,0,0,0,0,0,0,0,0,0,0,0,0.0090027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juvenile Whiting (0-1, 0-20cm)",0.02389904,0.1955914,0.0489001,0.008650692,0.004759676,0.02819718,0,0.001311939,0,0.03150315,0.0178,0.0147,0.02320418,0.04669664,0.00690069,0.04875485,0,0,0.006904833,0.003999608,0.02969855,0,0,0.03970397,0.00349965,0.09152745,0.08730603,0,0,0,9.99969E-05,0.0308966,0,0,0,0.004644588,0,0,0,0,0.1194119,0,0.3007301,0,0,0,0,0,0.01042189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whiting (adult),0,0.05009779,0.06540013,0,0.01899871,0.1128887,0,0.005853265,0,0.00430043,0,0,0,0.09089345,0,0.00147742,0,0,0,0.01959808,0,0,0,0,0,0.09152745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juvenile Haddock (0-1, 0-20cm)",0,0.02559887,0.006400012,0.01100088,0,0.00579942,0,0,0,0.0130013,0.0032,0.0055,0.02410434,0.02039853,0.00880088,0.01466867,0,0.01070074,0.002401681,0.01569846,0,0,0,0.00340034,0,0.05151545,0.006800469,0,0,0,0,0.02059774,0,0,0,0,0,0,0,0,0,0,0.2418242,0,0,0,0,0,0.01042189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haddock (adult),0,0.002899872,0.01120002,0,0,0.00579942,0,0,0,0,0,0,0,0.01929861,0,0,0,0,0,0.001999804,0,0,0,0,0,0.05151545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juvenile Saithe (0-3, 0-40cm)",0,0.04369808,0.003100006,0,0,0,0,0,0,0,0,0,0,0,0,0.00021106,0,0,0,0,0,0,0,0,0,0.00290087,0.000100007,0,0,0,0,0.001039886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01042189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saithe (adult),0,0.009899564,0.02970006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01960196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hake,0,0.004399806,0,0,0,0,0,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0.006999657,0,0,0,0,0.005901771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue whiting,0,0.001999912,0,0,0.003469764,0.02039796,0,0.07387224,0,0,0,0.0015,0,0.01879865,0,0,0,0,0,0.03399667,0.3089848,0,0,0.02980298,0,0,0.000100007,0,0,0,0.000500984,0.01529832,0,0,0,0,0,0,0,0,0,0.05409459,0,0,0,0.00829917,0,0,0.01032168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway pout,0.00523979,0.1759923,0,0,0.07239509,0.09399059,0.10022,0.02109194,0.0106,0.1057106,0.0013,0.0467,0.1208218,0.06739515,0.1347135,0.182989,0.01020104,0.08860611,0.2366657,0.3217685,0.102995,0.094,0,0.08010801,0.00039996,0.103231,0.06490448,0,0,0,0.009309711,0.2038776,0,0,0,0.005351373,0.0440044,0,0,0,0.10011,0.239576,0.10021,0,0,0,0,0,0.01032168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other gadoids (large),0,0.0113995,0.06610014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003800262,0,0,0,0,0,0.0190019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other gadoids (small),0,0.03719836,0.02640005,0.002300184,0.002579825,0.1251875,0.009701941,0.01029367,0.015,0.04480448,0.031,0.057,0.03520634,0.02069851,0.01290129,0.01846775,0.001200122,0.003700255,0.0207145,0.03619646,0.04649772,0,0,0.01050105,0.01679832,0,0.06860474,0,0,0,0.01129965,0.03099659,0,0,0,0.02645396,0,0,0,0,0.02980298,0.2271773,0.01490149,0,0,0.02579742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monkfish,0,0,0.00990002,0,0,0,0,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00290087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gurnards,0,0,0,0,0,0,0.04830967,0.000403673,0,0.00040004,0,0.0024,0.00200036,0.005899576,0,0.00031659,9.90101E-05,0,0,0.000299971,0.002779864,0,0,0,0,0,0.000100007,0,0,0,0,0.004479507,0,0,0,0,0,0,0,0,0,0.00619938,0,0,0,0,0.01009899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
