GroupName,Biomass,EE,PB,QB,GCE,GroupType,BA,Import,SpeciesType
Baleen whales,0.067,0,0.02,9.9,0.002020202,Consumer,0,0,Mammal
Toothed whales,0.017,0,0.02,17.63,0.00113443,Consumer,0,0,Mammal
Seals,0.008,0,0.09,26.842,0.003352954,Consumer,0,0,Mammal
Seabirds,0.003,0,0.28,216,0.001296296,Consumer,0,0.3243259,Bird
Juvenile sharks,0.001,0.384717,0.5,2.5,0.2,Consumer,0,0,Elasmobranch
Spurdog,0.01671178,0.95,0.6,2,0.3,Consumer,0,0,Elasmobranch
Large piscivorous sharks,0.002,0.2832603,0.48,1.6,0.3,Consumer,0,0,Elasmobranch
Small sharks,0.002,0.4152205,0.51,2.96,0.172297297,Consumer,0,0,Elasmobranch
Juvenile rays,0.268,0.00468022,0.66,1.7,0.388235294,Consumer,0,0,Elasmobranch
Starry ray + others,0.109,0.09445015,0.66,1.7,0.388235294,Consumer,0,0,Elasmobranch
Thornback & Spotted ray,0.066,0.1085937,0.78,2.3,0.339130435,Consumer,0,0,Elasmobranch
Skate + cuckoo ray,0.05,0.003909805,0.35,1.8,0.194444444,Consumer,0,0,Elasmobranch
"Juvenile Cod(0-2, 0-40cm)",0.079,0.9358664,1.79,5.96,0.30033557,Consumer,0,0,Fish
Cod (adult),0.161,0.7497738,1.19,3.5,0.34,Consumer,0,0,Fish
"Juvenile Whiting (0-1, 0-20cm)",0.222,0.8603238,2.36,6.58,0.358662614,Consumer,0,0,Fish
Whiting (adult),0.352,0.9321691,0.89,5.46,0.163003663,Consumer,0,0,Fish
"Juvenile Haddock (0-1, 0-20cm)",0.284,0.4532034,2,5.39,0.371057514,Consumer,0,0,Fish
Haddock (adult),0.104,0.9717407,1.14,4.4,0.259090909,Consumer,0,0,Fish
"Juvenile Saithe (0-3, 0-40cm)",0.281,0.3148733,1,4.94,0.20242915,Consumer,0,0,Fish
Saithe (adult),0.22,0.6210453,0.95,3.6,0.263888889,Consumer,0,0,Fish
Hake,0.014,0.6422275,0.82,2.2,0.372727273,Consumer,0,0,Fish
Blue whiting,0.08,0.8484456,2.5,9.06,0.27593819,Consumer,0,0,Fish
Norway pout,1.394,0.7505483,2.2,5.05,0.435643564,Consumer,0,0,Fish
Other gadoids (large),0.0486148,0.95,1.27,3.2,0.396875,Consumer,0,0,Fish
