Prey \ Predator,Whales,T. cetaceans,Seals,Sea birds,Sharks,Large pelagic,Cod <1,Cod 1-3,Cod 4-6,Cod 7+,S Hake <25,S Hake 25-31,S Hake 31+,Halibut <46,Halibut 46-81,Halibut 82+,Pollock <49,Pollock 49+,D piscivores <40,D piscivores 40+,L benthivores <40,L benthivores 40+,Skates <49,Skates 49+,Dogfish,Redfish <22,Redfish 22+,A plaice <26,A plaice 26+,Flounders <30,Flounders 30+,Haddock <3,Haddock 3+,L sculpin <25,L sculpin 25+,Herring <4,Herring 4+,Other pelagic,Mackerel,Mesopelagic,S-m benthivores,Squids,Lobster,Large crabs,Small crabs,Shrimps,Scallop,Bivalves,Other molluscs,Other arthropoda,Echinoderms,S. benthic groups,Worms,Meiofauna,Gelatinous zoop,Macrozoop,Mesozoop,Microzoop,Microflora,Phytoplankton,Discards,Detritus
Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. cetaceans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seals,0,0,0,0,0.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea birds,0,0,0,0.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large pelagic,0,0,0,0,0,0.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cod <1,0.002,0.359,0.096,0,0.013,0.105,0,0.072,0.156,0.156,0,0,0.03,0,0.377,0.377,0.002,0,0.041,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cod 1-3,0,2.592,4.165,0,2.414,1.885,0,0,0.314,0.314,0,0,0,0,0,0,0,0,1.021,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cod 4-6,0,0,0,0,8.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cod 7+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Hake <25,0.42,7.251,0.145,0.061,0.227,0.157,0.31,8.763,12.355,12.355,2.581,10.402,24.755,4.175,3.401,3.401,1.75,12.698,4.922,7.902,2.355,0.842,0.347,0.024,0.675,0,1.051,0,2.114,0,0,0,1.034,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Hake 25-31,0,11.377,0.653,0,0.699,3.497,0,0,0.045,0.045,0,0,0,0,12.163,12.163,0,0,0,2.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Hake 31+,0,2.038,1.144,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halibut <46,0,0,0.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halibut 46-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halibut 82+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pollock <49,0.059,0.167,6.198,0.008,0,0.134,0,0,0.066,0.066,0,0,0,0,0,0,0.018,0.031,0,2.803,0,0,0,0.229,0,0,0,0,0,0,0,0,0.422,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pollock 49+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D piscivores <40,0,0.498,0.088,0.003,0.044,0.035,0,0.071,0.11,0.11,0,0,0,0,1.83,1.83,0,0.021,0.039,0.391,0,0,0,0,0.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D piscivores 40+,0,0.047,0.116,0,1.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L benthivores <40,0,1.617,0.285,0,2.059,0.104,0,0.156,0.179,0.179,0,0,0,0,1.396,1.396,0.005,0.029,1.976,1.728,0.997,0.867,0.069,0.407,0.138,0,0,0,0,0,0,0,0.015,0.022,0.047,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
