GroupName,TL,Biomass,P/B (year-1),Z (year-1),QB,EE,P/Q,BA (year-1)
Whales,4.1,0.407,0.071,-1,4.94,0.11,0.014,0.008
Toothed cetaceans,4.88,0.05,0.18,-1,14.5,0.33,0.012,-1
Seals,4.83,0.044,0.147,-1,7.339,0.7,0.02,0.084
Sea birds,4.46,0.006,0.25,-1,87.6,0.95,0.003,-1
Sharks,4.81,0.026,0.18,-1,4.78,0.15,0.038,-0.075
Large pelagic,4.82,0.024,0.4,-1,4.24,0.61,0.094,-1
Cod <1,3.66,0.004,-1,1.55,10.469,0.95,0.148,-0.05
Cod 1-3,4.08,0.223,-1,0.39,2.915,0.78,0.134,-0.05
Cod 4-6,4.47,0.272,-1,0.82,1.801,0.41,0.455,-0.05
Cod 7+,4.47,0.076,-1,0.82,1.326,0.16,0.618,-0.05
S Hake <25,3.92,0.441,-1,1.6,7.436,0.96,0.215,-1
S Hake 25-31,4.01,0.264,-1,1.3,4.097,0.39,0.317,-1
S Hake 31+,4.75,0.047,-1,1.3,3.28,0.44,0.396,-1
Halibut <46,3.86,0.001,-1,0.57,5.093,0.92,0.112,-1
Halibut 46-81,4.65,0.005,-1,0.27,2.585,0.29,0.104,-1
Halibut 82+,4.65,0.017,-1,0.27,1.61,0.64,0.168,-1
Pollock <49,3.91,0.117,-1,0.47,5.143,0.98,0.091,-0.07
Pollock 49+,4.25,0.155,-1,0.85,2.94,0.7,0.289,-0.07
D piscivores <40,4.33,0.08,-1,0.44,5.372,0.98,0.082,-0.05
D piscivores 40+,4.6,0.266,-1,0.62,2.5,0.37,0.248,-0.05
L benthivores <40,3.78,0.103,-1,0.5,3.462,0.97,0.144,-1
L benthivores 40+,3.55,0.071,-1,0.64,1.92,0.77,0.333,-1
Skates <49,3.63,0.064,-1,0.2,3.077,0.98,0.065,-1
Skates 49+,3.91,0.074,-1,0.26,1.9,0.52,0.137,-1
Dogfish,4.45,2.102,0.139,-1,1.74,0.11,0.08,-1
Redfish <22,3.9,0.73,-1,0.27,5.017,0.67,0.054,-1
Redfish 22+,3.88,1.523,-1,0.23,2.41,0.47,0.095,-1
A plaice <26,3.35,0.043,-1,0.44,4.695,0.83,0.094,-0.07
A plaice 26+,3.58,0.101,-1,0.52,2.41,0.31,0.216,-0.07
Flounders <30,3.23,0.162,-1,0.53,5.826,0.57,0.091,-1
Flounders 30+,3.21,0.256,-1,0.59,3.21,0.32,0.184,-1
Haddock <3,3.38,0.289,-1,0.66,4.092,0.95,0.161,0.07
Haddock 3+,3.43,0.807,-1,0.42,2.08,0.87,0.202,0.07
L sculpin <25,3.74,0.061,-1,0.6,7.919,0.74,0.076,-0.05
L sculpin 25+,3.77,0.074,-1,0.5,3.93,0.13,0.127,-0.05
Herring <4,3.87,3.508,-1,0.64,3.946,0.98,0.162,-1
Herring 4+,3.87,2.25,-1,0.81,2.36,0.91,0.343,-1
Other pelagic,3.59,0.866,0.74,-1,3.31,0.93,0.224,-1
Mackerel,3.77,0.536,0.583,-1,5.08,0.98,0.115,-1
Mesopelagic,3.37,0.013,0.97,-1,18.9,0.95,0.051,-1
S-m benthivores,3.58,0.038,1.41,-1,4.7,0.95,0.3,-1
Squids,3.98,0.174,4,-1,11.333,0.98,0.353,-1
Lobster,3.1,0.301,0.91,-1,6.067,0.97,0.15,0.1
Large crabs,3.18,0.157,0.654,-1,4.36,0.81,0.15,-1
Small crabs,2.64,0.965,1.31,-1,8.733,0.99,0.15,-1
Shrimps,2.61,1.303,3,-1,20,0.95,0.15,-1
Scallop,2.05,0.647,0.342,-1,2.28,0.98,0.15,0.05
Bivalves,2.1,63.373,0.69,-1,4.6,0.13,0.15,-1
Other molluscs,2.81,2,0.75,-1,5,0.79,0.15,-1
Other arthropoda,2.03,0.853,4.4,-1,29.333,0.88,0.15,-1
Echinoderms,2.06,12.637,0.33,-1,2.2,0.46,0.15,-1
Sessile benthic groups,2.23,26.025,0.32,-1,2.133,0.15,0.15,-1
Worms,2.18,7.345,1.25,-1,8.333,0.84,0.15,-1
Meiofauna,2.05,4.091,10.8,-1,72,0.55,0.15,-1
Gelatinous zoop,3.4,0.52,15.51,-1,62.05,0.14,0.25,-1
Macrozoop,2.93,41.31,3.04,-1,19.5,0.73,0.156,-1
Mesozoop,2.37,23.796,29.2,-1,73,0.75,0.4,-1
Microzoop,2.34,5.801,82.8,-1,165.6,0.98,0.5,-1
Microflora,2,3.679,104.938,-1,209.876,0.96,0.5,-1
Phytoplankton,1,33.664,70.639,-1,-1,0.77,-1,-1
Discards,1,0.063,-1,-1,-1,0.88,-1,-1
Detritus,1,1,-1,-1,-1,0.7,-1,-1
