Prey \ predator,Whales and porpoises,Harp seals,Hooded seals,Grey seals,Harbour seals,Seabirds,Cod > 35 cm,Cod <= 35 cm,Greenland halibut,American plaice <= 35 cm,American plaice > 35 cm,Flounders,Skates,Redfish,Large demersal feeders,Small demersal feeders,Capelin,Large pelagic feeders,Piscivorous small pelagics,Planktivorous small pelagics,Shrimp,Large crustaceans,Echinoderms,Molluscs,Polychaetes,Other benthic invertebrates,Large zooplankton,Small zoplankton,Phytoplankton,Detritus
Whales and porpoises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harp seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hooded seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grey seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harbour seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cod > 35 cm,0,0.03803804,0.1718282,0.1691692,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cod <= 35 cm,0.01201201,0.1041041,0.1588411,0.1521522,0.063,0.002002002,0.02697303,0,0,0,0,0,0.05694306,0.003003003,0.03193613,0.091,0,0.002002002,0,0,0,0,0,0,0,0,0,0,0,0
Greenland halibut,0,0,0.01298701,0.002002002,0,0.005005005,0,0,0.001001001,0,0,0,0,0,0.005988024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American plaice <= 35 cm,0,0.008008008,0,0.04504505,0,0.005005005,0.004995005,0,0.001001001,0,0,0,0.000999001,0,0.005988024,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
