Prey \ predator,Whales and porpoises,Harp seals,Hooded seals,Grey seals,Harbour seals,Seabirds,Cod > 35 cm,Cod <= 35 cm,Greenland halibut,American plaice <= 35 cm,American plaice > 35 cm,Flounders,Skates,Redfish,Large demersal feeders,Small demersal feeders,Capelin,Large pelagic feeders,Piscivorous small pelagics,Planktivorous small pelagics,Shrimp,Large crustaceans,Echinoderms,Molluscs,Polychaetes,Other benthic invertebrates,Large zooplankton,Small zoplankton,Phytoplankton,Detritus
Whales and porpoises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harp seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hooded seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grey seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harbour seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cod > 35 cm,0,0.015,0.166,0.169,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cod <= 35 cm,0.009,0.011,0.135,0.113,0.042,0.001,0.02,0.009,0,0,0,0,0,0.003,0.005,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland halibut,0,0,0.019,0.002,0,0.007,0,0,0.001,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American plaice <= 35 cm,0,0.054,0,0.057,0,0.007,0.235,0.027,0.001,0,0,0,0,0,0.006,0.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American plaice > 35 cm,0,0.012,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flounders,0,0.052,0.26,0.181,0.018,0.007,0.017,0.023,0.001,0,0,0,0,0,0.006,0.157,0,0.063,0,0,0,0,0,0,0,0,0,0,0,0
Skates,0,0,0,0.011,0.001,0.007,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
Redfish,0.008,0,0.062,0,0.004,0,0,0,0.022,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large demersal feeders,0,0.01,0.004,0.053,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small demersal feeders,0,0.008,0.034,0.053,0.024,0.047,0,0,0.051,0,0,0,0.055,0.001,0.01,0.095,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0
Capelin,0.379,0.569,0.137,0.175,0.061,0.325,0.056,0.021,0.524,0,0,0,0.005,0.044,0,0.004,0,0.001,0.187,0,0,0,0,0,0,0,0,0,0,0
Large pelagic feeders,0.03,0,0,0.012,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piscivorous small pelagics,0.251,0.027,0.063,0.026,0.324,0.115,0.015,0,0.011,0,0,0,0,0.002,0.051,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
Planktivorous small pelagics,0.293,0.104,0.12,0.105,0.28,0.469,0.049,0.039,0.081,0,0,0.014,0.571,0.13,0.837,0.036,0,0.854,0.051,0,0,0,0,0,0,0,0,0,0,0
Shrimp,0.006,0.027,0,0,0.071,0.008,0.038,0.152,0.157,0.061,0.039,0.024,0.07,0.371,0.021,0.096,0,0.001,0.086,0.007,0,0.032,0,0,0,0,0,0,0,0
Large crustaceans,0,0.002,0,0.001,0.004,0,0.007,0.021,0,0.002,0.01,0.002,0.207,0,0.006,0.097,0,0.001,0,0,0,0.063,0,0,0,0,0,0,0,0
Echinoderms,0,0,0,0,0,0,0.02,0.002,0,0.031,0.424,0.306,0.002,0,0,0.002,0,0,0,0,0,0.157,0,0,0,0,0,0,0,0
Molluscs,0,0,0,0,0.002,0,0.38,0.068,0,0.06,0.097,0.274,0.007,0,0,0.005,0,0,0,0,0,0.237,0,0,0,0,0,0,0,0
Polychaetes,0,0,0,0,0,0,0.051,0.23,0,0.121,0.206,0.18,0.08,0,0.043,0.111,0,0.04,0,0,0.012,0.121,0,0,0.167,0,0,0,0,0
Other benthic invertebrates,0,0.002,0,0,0.001,0.007,0.04,0.113,0,0.393,0.035,0.174,0.004,0,0.006,0.02,0,0,0.006,0,0.014,0.038,0,0,0,0,0,0,0,0
Large zooplankton,0.024,0.106,0,0,0,0,0.07,0.273,0.152,0.332,0.189,0.004,0,0.323,0.001,0.073,0.062,0.013,0.151,0.331,0.093,0.014,0,0,0,0,0.027,0,0,0
Small zoplankton,0,0,0,0,0,0,0.002,0.023,0,0.001,0,0,0,0.123,0,0,0.938,0,0.52,0.662,0.2,0,0,0,0,0,0.39,0.117,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,0,0,0.5,0.495,0,0.453,0.508,0,0
Detritus,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0.582,0.337,1,0.5,0.338,1,0.13,0.375,0,0
