GroupName,Groups,Biomass,Pi,P/B,Qi,QB
Whales and porpoises,WHA,0.034,0.003,0.08,0.38,11.04
Harp seals,HAS,0.35,0.018,0.05,1.82,5.25
Hooded seals,HOS,0.004,0.0004,0.09,0.045,10.58
Grey seals,GRS,0.05,0.008,0.15,0.97,18.72
Harbour seals,HSE,0.002,0.0001,0.07,0.019,9.25
Seabirds,SEA,0.004,0.001,0.28,0.12,30.47
Cod > 35 cm,LCO,1.61,0.429,0.27,2.99,1.86
Cod <= 35 cm,SCO,0.3,0.173,0.58,1.29,4.31
Greenland halibut,LGH,0.007,0.008,1.1,0.03,4.79
American plaice <= 35 cm,SAP,3.82,1.441,0.38,9.62,2.52
American plaice > 35 cm,LAP,0.26,0.095,0.36,0.58,2.21
Flounders,FLO,1.66,0.428,0.26,3.12,1.88
Skates,SKA,0.04,0.009,0.23,0.04,1.05
Redfish,RED,0.019,0.007,0.38,0.05,2.43
Large demersal feeders,LDF,0.23,0.074,0.32,0.25,1.08
Small demersal feeders,SDF,0.3,0.124,0.41,0.41,1.36
Capelin,CAP,5.6,3.252,0.58,25.22,4.51
Large pelagic feeders,LPF,0.14,0.035,0.25,0.14,1.01
Piscivorous small pelagics,PISF,1.16,0.443,0.38,3.36,2.91
Planktivorous small pelagics,PLSF,7.42,3.062,0.41,20.09,2.71
Shrimp,SHR,0.74,2.82,3.79,14.92,20.05
Large crustaceans,LCRU,2.86,0.975,0.34,5.69,1.99
Echinoderms,ECH,112.3,34.201,0.3,134.11,1.19
Molluscs,MOL,42.1,45.146,1.07,194.42,4.62
Polychaetes,POL,10.5,30.367,2.89,123.57,11.77
Other benthic invertebrates,OBI,7.8,9.329,1.2,56.69,7.27
Large zooplankton,LZOO,8.75,28,3.2,208.83,23.87
Small zoplankton,SZOO,50,327.683,6.55,1209.5,24.19
Phytoplankton,PHY,18.04,1483.238,82.24,,
Detritus,DET,93.01,,,,
