EcopathName,CameoName,Region,CombinedEcopathName,TrophicLevel,LengthAtMat,
Juvenile sprat,Sprat,BALT,Sprat,3,11.5,In
Juvenile herring,Atlantic herring,BALT,Herring,3.2,16.7,In
Juvenile cod,Atlantic cod,BALT,Cod,4.4,63.4,Out
Adult sprat,Sprat,BALT,Sprat,3,11.5,In
Adult herring,Atlantic herring,BALT,Herring,3.2,16.7,In
Adult cod,Atlantic cod,BALT,Cod,4.4,63.4,Out
Adult herring (4+),Atlantic herring,BS,Herring,3.2,16.7,In
Juvenile herring (1-3),Atlantic herring,BS,Herring,3.2,16.7,In
Adult capelin (2+),Capelin,BS,Capelin,3.2,13.5,In
Juvenile capelin (1),Capelin,BS,Capelin,3.2,13.5,In
Redfishes,Golden redfish,BS,,4,38.2,
Redfishes,Beaked redfish,BS,,3.7,43.1,
Adult haddock (4+),Haddock,BS,Haddock,4.1,34.9,Out
Juvenile haddock (1-3),Haddock,BS,Haddock,4.1,34.9,Out
Adult cod (4+),Atlantic cod,BS,Cod,4.4,63.4,Out
Juvenile cod (1-3),Atlantic cod,BS,Cod,4.4,63.4,Out
Adult saithe,Pollock,BS,Saithe,4.4,39.1,Out
Juvenile saithe,Pollock,BS,Saithe,4.4,39.1,Out
Benthic piscivores,Greenland halibut,BS,,4.5,62.5,Out
Prawns & shrimps,Pandalid shrimps (NS),BS,,,,
Cod <1,Atlantic cod,WSS,Cod,4.4,63.4,Out
Cod 1-3,Atlantic cod,WSS,Cod,4.4,63.4,Out
Cod 4-6,Atlantic cod,WSS,Cod,4.4,63.4,Out
Cod 7+,Atlantic cod,WSS,Cod,4.4,63.4,Out
S Hake <25,Silver hake,WSS,Silver.Hake,4.3,23.2,In
S Hake 25-31,Silver hake,WSS,Silver.Hake,4.3,23.2,In
S Hake 31+,Silver hake,WSS,Silver.Hake,4.3,23.2,In
Haddock <3,Haddock,WSS,,4.1,34.9,Out
Haddock 3+,Haddock,WSS,,4.1,34.9,Out
Skates <49,Skates (NS),WSS,Skates,,,
Skates <49,Barndoor skate,WSS,Skates,,,
Skates 49+,Skates(NS),WSS,Skates,,,
Skates 49+,Barndoor skate,WSS,Skates,,,Out
Dogfish,Spiny dogfish,WSS,,4.3,81.4,Out
Other pelagic,Atlantic argentine,WSS,,,,In
Other pelagic,Shad,WSS,,,,
Other pelagic,Alewife,WSS,,,,
Other pelagic,Northern sand lance,WSS,,,,
Other pelagic,Atlantic butterfish,WSS,,,,
Redfish <22,Atlantic redfishes (NS),WSS,Redfish,,,
Redfish 22+,Atlantic redfishes (NS),WSS,Redfish,,,
Pollock <49,Pollock,WSS,,4.4,39.1,Out
Pollock 49+,Pollock,WSS,,4.4,39.1,Out
Mackerel,Atlantic mackerel,WSS,,3.7,28.6,
D piscivores <40,White hake,WSS,D.Piscivores,,,
D piscivores <40,Cusk,WSS,D.Piscivores,,,
D piscivores <40,Goosefish,WSS,D.Piscivores,,,
D piscivores 40+,White hake,WSS,D.Piscivores,,,
D piscivores 40+,Cusk,WSS,D.Piscivores,,,
D piscivores 40+,Goosefish,WSS,D.Piscivores,,,
L benthivores <40,Red hake,WSS,L.Benthivores,,,
L benthivores <40,Ocean pout,WSS,L.Benthivores,,,
L benthivores <40,Wolffishes (NS),WSS,L.Benthivores,,,
L benthivores <40,Lumpfish,WSS,L.Benthivores,,,
L benthivores 40+,Red hake,WSS,L.Benthivores,,,
L benthivores 40+,Ocean pout,WSS,L.Benthivores,,,
L benthivores 40+,Wolffishes (NS),WSS,L.Benthivores,,,
L benthivores 40+,Lumpfish,WSS,L.Benthivores,,,
L sculpin <25,Sculpin,WSS,L.Sculpin,3.5,,
L sculpin 25+,Sculpin,WSS,L.Sculpin,4.5,,
Squids,Squids (NS),WSS,,,,
Scallop,Sea scallop,WSS,,,,
Halibut <46,Atlantic halibut,WSS,Halibut,,,
Halibut <46,Greenland halibut,WSS,Halibut,,,
Halibut 46-81,Atlantic halibut,WSS,Halibut,,,
Halibut 46-81,Greenland halibut,WSS,Halibut,,,
Halibut 82+,Atlantic halibut,WSS,Halibut,,,
Halibut 82+,Greenland halibut,WSS,Halibut,,,
A plaice <26,American plaice,WSS,A.Plaice,,,
A plaice 26+,American plaice,WSS,A.Plaice,,,
Flounders <30,Windowpane,WSS,Flounders,,,
Flounders <30,Winter flounder,WSS,Flounders,,,
Flounders <30,Witch flounder,WSS,Flounders,,,
Flounders <30,Yellowtail flounder,WSS,Flounders,,,
Flounders <30,Fourspot flounder,WSS,Flounders,,,
