stockid,tsn,scientificname,commonname,areaid,stocklong,region,inmyersdb,myersstockid
ACADREDGOMGB,166774,Sebastes fasciatus,Acadian redfish,USA-NMFS-5YZ,Acadian redfish Gulf of Maine / Georges Bank,US East Coast,0,NA
ALBAIO,172419,Thunnus alalunga,albacore tuna,multinational-IOTC-IO,Albacore tuna Indian Ocean,Indian Ocean,0,
ALBAMED,172419,Thunnus alalunga,albacore tuna,multinational-ICCAT-MED,Albacore tuna Mediterranean,Mediterranean-Black Sea,0,
ALBANATL,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-NATL,Albacore tuna North Atlantic,Atlantic Ocean,0,NA
ALBANPAC,172419,Thunnus alalunga,Albacore tuna,Multinational-ISC-NPAC,Albacore tuna North Pacific,US West Coast,0,NA
ALBASATL,172419,Thunnus alalunga,albacore tuna,multinational-ICCAT-SATL,Albacore tuna South Atlantic,Atlantic Ocean,0,
ALBASPAC,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Albacore tuna South Pacific Ocean,Pacific Ocean,1,ALBASPAC
ALPLAICBSAI,172901,Pleuronectes quadrituberculatus,Alaska plaice,USA-NMFS-BSAI,Alaska plaice Bering Sea and Aleutian Islands,US Alaska,0,NA
AMPL23K,172877,Hippoglossoides platessoides,American Plaice,Canada-DFO-23K,American Plaice NAFO-23K,Canada East Coast,0,NA
AMPL3LNO,172877,Hippoglossoides platessoides,American Plaice,multinational-NAFO-3LNO,American Plaice NAFO-3LNO,Canada East Coast,1,AMPL3LNO
AMPL3M,172877,Hippoglossoides platessoides,American Plaice,multinational-NAFO-3M,American Plaice NAFO-3M,Canada East Coast,1,AMPL3M
AMPL3Ps,172877,Hippoglossoides platessoides,American Plaice,Canada-DFO-3Ps,American Plaice NAFO-3Ps,Canada East Coast,1,AMPL3Ps
AMPL5YZ,172877,Hippoglossoides platessoides,American Plaice,USA-NMFS-5YZ,American Plaice NAFO-5YZ,US East Coast,1,AMPL5YZ
ANCHOBAYB,161831,Engraulis encrasicolus,Anchovy,multinational-ICES-VIII,Anchovy ICES VIII,European Union,1,ANCHOBAYB
ANCHOSA,161831,Engraulis encrasicolus,Anchovy,South Africa-DETMCM-SA,Anchovy South Africa,South Africa,1,SAANCH
ANCHOVYKILKACS,551220,Clupeonella engrauliformis,Anchovy kilka,Iran-Iran-CS,Anchovy kilka Caspian Sea,Other,0,NULL
APOLLPJPN,164722,Theragra chalcogramma,Walleye pollock,Japan-FAFRFJ-PJPN,Alaskan Pollock Pacific Coast of Japan,Russia Japan,0,NA
ARFLOUNDBSAI,616029,Reinhardtius stomias,Arrowtooth flounder,USA-NMFS-BSAI,Arrowtooth flounder Bering Sea and Aleutian Islands,US Alaska,0,NA
ARFLOUNDGA,616029,Atheresthes stomias,Arrowtooth flounder,USA-NMFS-GA,Arrowtooth flounder Gulf of Alaska,US Alaska,0,NA
ARFLOUNDPCOAST,616029,Reinhardtius stomias,Arrowtooth flounder,USA-NMFS-PCOAST,Arrowtooth flounder Pacific Coast,US West Coast,0,NA
ARGANCHONARG,551338,Engraulis anchoita,Argentine anchoita,Argentina-CFP-ARG-N,Argentine anchoita Northern Argentina,South America,0,NA
ARGANCHOSARG,551338,Engraulis anchoita,Argentine anchoita,Argentina-CFP-ARG-S,Argentine anchoita Southern Argentina,South America,0,NA
ARGHAKENARG,164800,Merluccius hubbsi,Argentine hake,Argentina-CFP-ARG-N,Argentine hake Northern Argentina,South America,0,NA
ARGHAKESARG,164800,Merluccius hubbsi,Argentine hake,Argentina-CFP-ARG-S,Argentine hake Southern Argentina,South America,0,NA
ATBTUNAEATL,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-EATL,Bluefin tuna Eastern Atlantic,Atlantic Ocean,1,BTUNAEA
ATBTUNAWATL,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-WATL,Bluefin tuna Western Atlantic,Atlantic Ocean,1,BTUNAWA
ATHAL5YZ,172933,Hippoglossus hippoglossus,Atlantic Halibut,USA-NMFS-5YZ,Atlantic Halibut NAFO-5YZ,US East Coast,0,NA
ATKABSAI,167120,Pleurogrammus monopterygius,Atka mackerel,USA-NMFS-BSAI,Atka mackerel Bering Sea and Aleutian Islands,US Alaska,0,NA
ATLCROAKMATLC,169283,Micropogonias undulatus,Atlantic croaker,USA-NMFS-MATLC,Atlantic croaker Mid-Atlantic Coast,US East Coast,0,
ATOOTHFISHRS,642808,Dissostichus mawsoni,Antarctic toothfish,multinational-CCAMLR-RS,Antarctic toothfish Ross Sea,Antarctic,0,
AUSSALMONNZ,168827,Arripis trutta,Australian salmon,New Zealand-MFish-NZ,Australian salmon New Zealand,New Zealand,0,
BCRABCHESB,98696,Callinectes sapidus,Blue Crab,USA-US State-CHESB,Blue Crab Chesapeake Bay,US East Coast,0,
BGRDRNSWWA,623193,Macruronus novaezelandiae,Blue grenadier,Australia-AFMA-NSWWA,Blue grenadier New South Wales to Western Australia,Australia,0,
BGRDRSE,623193,Macruronus novaezelandiae,blue grenadier,Australia-AFMA-SE,Blue Grenadier Southeast Australia,Australia,0,
BGROCKPCOAST,166728,Sebastes melanostomus,Blackgill rockfish,USA-NMFS-PCOAST,Blackgill rockfish  Pacific Coast,US West Coast,0,
BHEADSHARATL,160502,Sphyrna tiburo,Bonnethead shark,USA-NMFS-ATL,Bonnethead shark Atlantic,Atlantic Ocean,0,NA
BIGEYEATL,172428,Thunnus obesus,Bigeye tuna,multinational-ICCAT-ATL,Bigeye tuna Atlantic,Atlantic Ocean,1,BIGEYEATLANTIC
BIGEYECWPAC,172428,Thunnus obesus,bigeye tuna,multinational-WCPFC-CWPAC,Bigeye tuna Central Western Pacific,Pacific Ocean,0,
BIGEYEEPAC,172428,Thunnus obesus,Bigeye tuna,multinational-IATTC-EPAC,Bigeye tuna Eastern Pacific,Pacific Ocean,1,BIGEYEEPACIFIC
BIGEYEIO,172428,Thunnus obesus,Bigeye tuna,multinational-IOTC-IO,Bigeye tuna Indian Ocean,Indian Ocean,0,
BIGEYEWPO,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Bigeye tuna Western Pacific Ocean,Pacific Ocean,0,NA
BIGHTREDSE,622143,Centroberyx gerrardi,Bight redfish,Australia-AFMA-SE,Bight redfish Southeast Australia,Australia,0,
BKCDLFENI,168298,Epigonus telescopus,Black cardinalfish,New Zealand-MFish-ENI,Black cardinalfish East coast of North Island,New Zealand,0,
BKINGCRABPI,97936,Paralithodes platypus,Blue king crab,USA-NMFS-PI,Blue king crab Pribilof Islands,US Alaska,0,NA
BKINGCRABSMI,97936,Paralithodes platypus,Blue king crab,USA-NMFS-SMI,Blue king crab Saint Matthews Island,US Alaska,0,NA
BLACKGROUPERGM,167760,Mycteroperca bonaci,Black grouper,USA-NMFS-GM,Black Grouper Gulf of Mexico,US Southeast/Gulf,0,
BLACKOREOPR,625296,Allocyttus niger,Black oreo,New Zealand-MFish-PR,Black Oreo Pukaki Rise,New Zealand,0,
BLACKOREOWECR,625296,Allocyttus niger,Black oreo,New Zealand-MFish-WECR,Black oreo West end of Chatham Rise,New Zealand,0,
BLACKROCKNPCOAST,166727,Sebastes melanops,Black rockfish,USA-NMFS-NPCOAST,Black rockfish Northern Pacific Coast,US West Coast,0,NA
BLACKROCKSPCOAST,166727,Sebastes melanops,Black rockfish,USA-NMFS-SPCOAST,Black rockfish Southern Pacific Coast,US West Coast,0,NA
BLUEFISHATLC,168559,Pomatomus saltatrix,Bluefish,USA-NMFS-ATLC,Bluefish Atlantic Coast,US East Coast,0,NA
BLUEROCKCAL,166730,Sebastes mystinus,Blue rockfish,USA-NMFS-CAL,Blue rockfish California,US West Coast,0,NA
BMACKECS,172415,Scomber australasicus,Blue mackerel,Japan-FAFRFJ-ECS,Blue mackerel East China Sea,Russia Japan,0,
BMACKPJPN,172415,Scomber australacius,Blue mackerel,Japan-FAFRFJ-PJPN,Blue mackerel Pacific Coast of Japan,Russia Japan,0,NA
BMARLINATL,172491,Makaira nigricans,Blue marlin,multinational-ICCAT-ATL,Blue marlin Atlantic,Atlantic Ocean,0,
BMARLINPAC,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Blue marlin Pacific Ocean,Pacific Ocean,0,
BNKROCKCAL,166761,Sebastes rufus,Bank Rockfish,USA-NMFS-CAL,Bank Rockfish California,US West Coast,0,
BNOSESHARATL,160304,Carcharhinus acronotus,Blacknose shark,USA-NMFS-ATL,Blacknose shark Atlantic,Atlantic Ocean,0,NA
BNSNZ,172514,Hyperoglyphe antarctica,Bluenose,New Zealand-MFish-NZ,Bluenose New Zealand,New Zealand,0,
BOCACCSPCOAST,166733,Sebastes paucispinis,Bocaccio,USA-NMFS-SPCOAST,Bocaccio Southern Pacific Coast,US West Coast,1,BOCAEURCON
BRMSOJ,647939,Dentex tumifrons,Yellow sea bream,Japan-FAFRFJ-SOJ,Yellow sea bream Sea of Japan,Russia Japan,0,
BRNSHRIMPGM,551570,Farfantepenaeus aztecus,Brown shrimp,USA-NMFS-GM,Brown shrimp Gulf of Mexico,US Southeast/Gulf,0,NA
BSBASSMATLC,167687,Centropristis striata,Black sea bass,USA-NMFS-MATLC,Black sea bass Mid-Atlantic Coast,US East Coast,0,NA
BSKAT5YZSNE,564139,Dipturus laevis,Barndoor skate,USA-NMFS-5YZSNE,Barndoor skate Gulf of Marine / Georges Bank-Southern New England,US East Coast,0,
BSKATCANATL,564139,Dipturus laevis,Barndoor skate,Canada-DFO-ATL,Barndoor skate Canadian Atlantic Ocean,Canada East Coast,0,NA
BTIPSHARATL,160318,Carcharhinus limbatus,Blacktip shark,USA-NMFS-ATL,Blacktip shark Atlantic,Atlantic Ocean,0,NA
BTIPSHARGM,160318,Carcharhinus limbatus,Blacktip shark,USA-NMFS-GM,Blacktip shark Gulf of Mexico,US Southeast/Gulf,0,
BTSHRIMPNAUST,95625,Penaeus esculentus,Brown tiger shrimp,Australia-AFMA-NAUST,Northern Australia brown tiger shrimp,Australia,0,
BUTTERGOMCHATT,172567,Peprilus triacanthus,Atlantic butterfish,USA-NMFS-5YCHATT,Atlantic butterfish Gulf of Maine / Cape Hatteras,US East Coast,1,BUTTER56
BWHITCH,164774,Micromesistius poutassou,blue whiting,multinational-SPRFMO-CH,Blue Whiting Chile,South America,0,
BWHITNEA,164774,Micromesistius poutassou,Blue whiting,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Whiting Northeast Atlantic,European Union,0,NA
CABEZNCAL,692068,Scorpaenichthys marmoratus,Cabezon,USA-NMFS-NCAL,Cabezon Northern California,US West Coast,0,
CABEZORECOAST,692068,Scorpaenichthys marmoratus,Cabezon,USA-NMFS-ORECOAST,Cabezon Oregon Coast,US West Coast,0,
CABEZSCAL,692068,Scorpaenichthys marmoratus,Cabezon,USA-NMFS-SCAL,Cabezon Southern California,US West Coast,0,
CALSCORPSCAL,166827,Scorpaena guttata,California scorpionfish,USA-NMFS-SCAL,California scorpionfish Southern California,US West Coast,0,
CAPEICE,162035,Mallotus villosus,Capelin,multinational-ICES-Va,Capelin Iceland,Europe non EU,1,CAPEICE
CAPENOR,162035,Mallotus villosus,Capelin,multinational-ICES-I,Capelin Barents Sea,Europe non EU,1,NA
CHAKESA,164798,Merluccius capensis,Shallow-water cape hake,South Africa-DETMCM-SA,Shallow-water cape hake South Africa,South Africa,0,
CHILISPCOAST,166722,Sebastes goodei,Chilipepper,USA-NMFS-SPCOAST,Chilipepper Southern Pacific Coast,US West Coast,1,CHILIPEPPER
CHTRACCH,168597,Trachurus murphyi,Chilean jack mackerel,multinational-SPRFMO-CH,Chilean jack mackerel Chilean EEZ and offshore,South America,0,
